servering..i.kg.,antal.ätande.på.plats,kategori,tallrikssvinn.gäst.dag,enhet,tallrik..i.kg.,serveringssvinn.gäst.dag,kökssvinn.gäst.dag,dagar,antal.port.inkl..utskick,kök..i.kg.,date,code,Namn,Typ,Beskrivning,Adress,Webbsida,lon,lat
,643,grundskola,39.26,Blombacka,404,Null,Null,16,1152,,2019-01-01T12:00:00Z,Blom,Blombackaskolan,Kommunal,F-9,Källgatan 8 <BR> 151 60 Södertälje<BR>,https://www.sodertalje.se/Blombackaskolan,17.610175386429578,59.193009209745874
,386,grundskola,Null,Braxen,,Null,Null,,386,,2019-01-01T12:00:00Z,Brax,Null,Null,Null,Null,Null,Null,Null
,899,grundskola,Null,Brunnsäng,,Null,Null,,899,,2019-01-01T12:00:00Z,Brun,Brunnsängskolan,Kommunal,F-9,Häradsvägen 8 <BR> 152 48 Södertälje<BR>,https://www.sodertalje.se/Brunnsangskolan,17.63710477830217,59.21250350241082
,581,grundskola,19,Ene,210,Null,22,19,581,240,2019-01-01T12:00:00Z,Ene,Eneskolan,Kommunal,F-9,Mölnbovägen 25 <BR> 153 32 Järna<BR>,https://www.sodertalje.se/eneskolan,17.55750283469028,59.08379372434768
,338,grundskola,14,Fornbacka,72,Null,Null,15,338,,2019-01-01T12:00:00Z,Forn,Fornbackaskolan,Kommunal,"F-6, Sär",Fornhöjdsvägen 4 <BR> 152 58 Södertälje<BR>,https://www.sodertalje.se/Fornbackaskolan,17.6645602041309,59.19295953577887
,564,grundskola,38,Hovsjö,342,Null,23,16,564,204,2019-01-01T12:00:00Z,Hovs,Hovsjöskolan,Kommunal,F-9,Penselvägen 1 <BR> 151 65 Södertälje,https://www.sodertalje.se/Hovsjoskolan,17.598898753777032,59.17571289589243
,477,grundskola,4,Hölö,35,Null,4,19,477,35,2019-01-01T12:00:00Z,Hölö,Hölöskolan,Kommunal,F-9,Eriksbergsvägen 9 <BR> 153 71 Hölö<BR>,https://www.sodertalje.se/Holoskolan,17.54494648967159,59.023013557675405
,697,grundskola,16,Igelstaviken,206,Null,Null,19,697,,2019-01-01T12:00:00Z,Igel,Igelsta grundskola,Kommunal,F-9,Korpuddsvägen 9-11 <BR>152 57 Södertälje <BR>,https://www.sodertalje.se/Igelstagrundskola,17.660093767283833,59.18326977968149
30,391,grundskola,16,Lina,119,4,15,19,391,110,2019-01-01T12:00:00Z,Lina,Lina grundskola,Kommunal,F-9,Vatt Annas väg 5-7 <BR> 151 55 Södertälje<BR>,https://www.sodertalje.se/Linagrundskola,17.588236735281328,59.2107546239738
,222,grundskola,31,Majtorp,118,Null,30,17,222,115,2019-01-01T12:00:00Z,Majt,Rosenborgsenheten (Majtorpskolan),Kommunal,F-3,Klätterstigen 4 <BR> 152 70 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.651494782318082,59.193271925020795
9,325,gymnasium,7,Moraberg,32,2,1,15,325,7,2019-01-01T12:00:00Z,Mora,Mora Park Hölö,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Kristoffergården <BR>153 92 Hölö,http://www.morapark.se/sarskola-forskola,17.598694418220525,59.00505296735322
9,325,gymnasium,7,Moraberg,32,2,1,15,325,7,2019-01-01T12:00:00Z,Mora,Mora Park Järna,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Mora 8 <BR>153 95 Järna,http://www.morapark.se/sarskola-forskola,17.546649554275444,59.08395671580015
,145,grundskola,83,Mölnbo,230,Null,46,19,231,200,2019-01-01T12:00:00Z,Möln,Mölnboskolan,Kommunal,F-6,Skolvägen 13 <BR> 153 60 Mölnbo<BR>,https://www.sodertalje.se/Molnboskolan,17.4240737784609,59.0526617272965
,334,grundskola,Null,Oxbacken,,Null,Null,,334,,2019-01-01T12:00:00Z,Oxba,Oxbacksskolan 5-9,Kommunal,5-9,Mariekällgatan 3 <BR> 151 44 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.625645909275317,59.18884545332261
,334,grundskola,Null,Oxbacken,,Null,Null,,334,,2019-01-01T12:00:00Z,Oxba,Oxbacksskolan F-4,Kommunal,F-4,Bellevugatan 6-8 <BR> 151 73 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.62410663664879,59.19567503874605
,531,grundskola,15,Pershagen,125,Null,11,16,531,90,2019-01-01T12:00:00Z,Pers,Pershagenskolan,Kommunal,F-9,Bränningestrandsvägen 4 <BR> 151 39 Södertälje<BR>,https://www.pershagenskolan.se/,17.652221471021317,59.15264290899835
,639,gymnasium,24,Rektorsvägen,262,Null,24,17,639,260,2019-01-01T12:00:00Z,Rekt,Null,Null,Null,Null,Null,Null,Null
,757,grundskola,28,Ronna,333,Null,8,16,1179,160,2019-01-01T12:00:00Z,Ronn,Ronnaskolan,Kommunal,F-9,Robert Anbergsväg 1-3 <BR> 151 51 Södertälje<BR>,https://www.sodertalje.se/Ronnaskolan,17.597530945250995,59.20505199753246
,540,grundskola,27,Rosenborg,247,Null,13,17,1456,322,2019-01-01T12:00:00Z,Rose,Rosenborgsenheten,Kommunal,"F-9, Sär",Erik Dahlbergs väg 9 <BR> 152 40 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.638892847871517,59.19723429606154
,628,grundskola,25,Soldala,286,Null,10,18,628,113,2019-01-01T12:00:00Z,Sold,Soldalaskolan,Kommunal,F-9,Lundbygatan 5 <BR> 151 46 Södertälje<BR>,https://www.sodertalje.se/Soldalaskolan,17.604604905426367,59.18560822004892
,361,grundskola,18,Stålhamra,106,Null,21,16,361,124,2019-01-01T12:00:00Z,Stål,Stålhamraskolan,Kommunal,"F-6, Sär",Skogvaktarvägen 30 <BR> 151 47 Södertälje<BR>,https://www.sodertalje.se/Stalhamraskolan,17.622655865273163,59.177844961210525
,444,grundskola,12,Tavesta,105,Null,19,19,444,160,2019-01-01T12:00:00Z,Tave,Tavestaskolan,Kommunal,F-5,Rönnvägen 7 <BR> 153 36 Järna<BR>,https://www.sodertalje.se/tavestaskolan,17.5607384046489,59.096316380331835
10,305,grundskola,18,Valla,105,2,18,19,371,125,2019-01-01T12:00:00Z,Vall,Vallaskolan,Kommunal,F-6,Sandviksvägen 60 <BR> 151 50 Enhörna<BR>,https://www.sodertalje.se/Vallaskolan,17.48145953130543,59.25503028224599
90,669,grundskola,20,Wasa,250,7,13,19,702,180,2019-01-01T12:00:00Z,Wasa,Wasaskolan,Kommunal,F-9,Prosten Linders väg 2 <BR> 151 61 Södertälje<BR>,https://www.sodertalje.se/Wasaskolan,17.58046263369102,59.19335665834746
,485,gymnasium,28,Västergård,220,Null,7,16,1514,164,2019-01-01T12:00:00Z,Väst,Null,Null,Null,Null,Null,Null,Null
,210,övrigt ,Null,Stadshuset,,Null,Null,,210,,2019-01-01T12:00:00Z,Stad,Null,Null,Null,Null,Null,Null,Null
,643,grundskola,37.9,Blombacka,390,Null,Null,16,1152,,2019-02-01T12:00:00Z,Blom,Blombackaskolan,Kommunal,F-9,Källgatan 8 <BR> 151 60 Södertälje<BR>,https://www.sodertalje.se/Blombackaskolan,17.610175386429578,59.193009209745874
,386,grundskola,Null,Braxen,,Null,Null,,386,,2019-02-01T12:00:00Z,Brax,Null,Null,Null,Null,Null,Null,Null
,899,grundskola,Null,Brunnsäng,,Null,Null,,899,,2019-02-01T12:00:00Z,Brun,Brunnsängskolan,Kommunal,F-9,Häradsvägen 8 <BR> 152 48 Södertälje<BR>,https://www.sodertalje.se/Brunnsangskolan,17.63710477830217,59.21250350241082
,581,grundskola,16.36,Ene,190,Null,17.22,20,581,200,2019-02-01T12:00:00Z,Ene,Eneskolan,Kommunal,F-9,Mölnbovägen 25 <BR> 153 32 Järna<BR>,https://www.sodertalje.se/eneskolan,17.55750283469028,59.08379372434768
,338,grundskola,17.77,Fornbacka,96,Null,Null,16,338,,2019-02-01T12:00:00Z,Forn,Fornbackaskolan,Kommunal,"F-6, Sär",Fornhöjdsvägen 4 <BR> 152 58 Södertälje<BR>,https://www.sodertalje.se/Fornbackaskolan,17.6645602041309,59.19295953577887
,564,grundskola,30.92,Hovsjö,349,Null,17.72,20,564,200,2019-02-01T12:00:00Z,Hovs,Hovsjöskolan,Kommunal,F-9,Penselvägen 1 <BR> 151 65 Södertälje,https://www.sodertalje.se/Hovsjoskolan,17.598898753777032,59.17571289589243
,477,grundskola,4.08,Hölö,39,Null,4.08,20,477,39,2019-02-01T12:00:00Z,Hölö,Hölöskolan,Kommunal,F-9,Eriksbergsvägen 9 <BR> 153 71 Hölö<BR>,https://www.sodertalje.se/Holoskolan,17.54494648967159,59.023013557675405
,697,grundskola,22.18,Igelstaviken,232,Null,Null,15,697,,2019-02-01T12:00:00Z,Igel,Igelsta grundskola,Kommunal,F-9,Korpuddsvägen 9-11 <BR>152 57 Södertälje <BR>,https://www.sodertalje.se/Igelstagrundskola,17.660093767283833,59.18326977968149
15,391,grundskola,18.57,Lina,145,1.920614597,15.36,20,391,120,2019-02-01T12:00:00Z,Lina,Lina grundskola,Kommunal,F-9,Vatt Annas väg 5-7 <BR> 151 55 Södertälje<BR>,https://www.sodertalje.se/Linagrundskola,17.588236735281328,59.2107546239738
,222,grundskola,27,Majtorp,120,Null,28.13,20,222,125,2019-02-01T12:00:00Z,Majt,Rosenborgsenheten (Majtorpskolan),Kommunal,F-3,Klätterstigen 4 <BR> 152 70 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.651494782318082,59.193271925020795
14,325,gymnasium,3.47,Moraberg,18,2.696456086,2.31,16,325,12,2019-02-01T12:00:00Z,Mora,Mora Park Hölö,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Kristoffergården <BR>153 92 Hölö,http://www.morapark.se/sarskola-forskola,17.598694418220525,59.00505296735322
14,325,gymnasium,3.47,Moraberg,18,2.696456086,2.31,16,325,12,2019-02-01T12:00:00Z,Mora,Mora Park Järna,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Mora 8 <BR>153 95 Järna,http://www.morapark.se/sarskola-forskola,17.546649554275444,59.08395671580015
,145,grundskola,18.94,Mölnbo,55,Null,26.62,20,231,123,2019-02-01T12:00:00Z,Möln,Mölnboskolan,Kommunal,F-6,Skolvägen 13 <BR> 153 60 Mölnbo<BR>,https://www.sodertalje.se/Molnboskolan,17.4240737784609,59.0526617272965
,334,grundskola,Null,Oxbacken,,Null,Null,,334,,2019-02-01T12:00:00Z,Oxba,Oxbacksskolan 5-9,Kommunal,5-9,Mariekällgatan 3 <BR> 151 44 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.625645909275317,59.18884545332261
,334,grundskola,Null,Oxbacken,,Null,Null,,334,,2019-02-01T12:00:00Z,Oxba,Oxbacksskolan F-4,Kommunal,F-4,Bellevugatan 6-8 <BR> 151 73 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.62410663664879,59.19567503874605
,531,grundskola,15.68,Pershagen,125,Null,10.79,15,531,86,2019-02-01T12:00:00Z,Pers,Pershagenskolan,Kommunal,F-9,Bränningestrandsvägen 4 <BR> 151 39 Södertälje<BR>,https://www.pershagenskolan.se/,17.652221471021317,59.15264290899835
,639,gymnasium,23.47,Rektorsvägen,240,Null,20.54,16,639,210,2019-02-01T12:00:00Z,Rekt,Null,Null,Null,Null,Null,Null,Null
,757,grundskola,28.89,Ronna,328,Null,9.1,15,1179,161,2019-02-01T12:00:00Z,Ronn,Ronnaskolan,Kommunal,F-9,Robert Anbergsväg 1-3 <BR> 151 51 Södertälje<BR>,https://www.sodertalje.se/Ronnaskolan,17.597530945250995,59.20505199753246
,540,grundskola,10.58,Rosenborg,80,Null,5.3,14,1456,108,2019-02-01T12:00:00Z,Rose,Rosenborgsenheten,Kommunal,"F-9, Sär",Erik Dahlbergs väg 9 <BR> 152 40 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.638892847871517,59.19723429606154
,628,grundskola,23.24,Soldala,292,Null,10.75,20,628,135,2019-02-01T12:00:00Z,Sold,Soldalaskolan,Kommunal,F-9,Lundbygatan 5 <BR> 151 46 Södertälje<BR>,https://www.sodertalje.se/Soldalaskolan,17.604604905426367,59.18560822004892
,361,grundskola,20.86,Stålhamra,143,Null,20.71,19,361,142,2019-02-01T12:00:00Z,Stål,Stålhamraskolan,Kommunal,"F-6, Sär",Skogvaktarvägen 30 <BR> 151 47 Södertälje<BR>,https://www.sodertalje.se/Stalhamraskolan,17.622655865273163,59.177844961210525
,444,grundskola,20.93,Tavesta,186,Null,19.91,20,444,177,2019-02-01T12:00:00Z,Tave,Tavestaskolan,Kommunal,F-5,Rönnvägen 7 <BR> 153 36 Järna<BR>,https://www.sodertalje.se/tavestaskolan,17.5607384046489,59.096316380331835
40,305,grundskola,17.72,Valla,108,6.563833279,13.49,20,371,100,2019-02-01T12:00:00Z,Vall,Vallaskolan,Kommunal,F-6,Sandviksvägen 60 <BR> 151 50 Enhörna<BR>,https://www.sodertalje.se/Vallaskolan,17.48145953130543,59.25503028224599
130,669,grundskola,Null,Wasa,180,Null,Null,,702,140,2019-02-01T12:00:00Z,Wasa,Wasaskolan,Kommunal,F-9,Prosten Linders väg 2 <BR> 151 61 Södertälje<BR>,https://www.sodertalje.se/Wasaskolan,17.58046263369102,59.19335665834746
,485,gymnasium,30.65,Västergård,223,Null,5.33,15,1514,121,2019-02-01T12:00:00Z,Väst,Null,Null,Null,Null,Null,Null,Null
,210,övrigt ,Null,Stadshuset,,Null,62.86,20,210,264,2019-02-01T12:00:00Z,Stad,Null,Null,Null,Null,Null,Null,Null
,643,grundskola,29.23,Blombacka,376,Null,Null,20,1152,,2019-03-01T12:00:00Z,Blom,Blombackaskolan,Kommunal,F-9,Källgatan 8 <BR> 151 60 Södertälje<BR>,https://www.sodertalje.se/Blombackaskolan,17.610175386429578,59.193009209745874
,386,grundskola,Null,Braxen,,Null,Null,,386,,2019-03-01T12:00:00Z,Brax,Null,Null,Null,Null,Null,Null,Null
,899,grundskola,30.34,Brunnsäng,518,Null,9.96,19,899,170,2019-03-01T12:00:00Z,Brun,Brunnsängskolan,Kommunal,F-9,Häradsvägen 8 <BR> 152 48 Södertälje<BR>,https://www.sodertalje.se/Brunnsangskolan,17.63710477830217,59.21250350241082
,581,grundskola,16.36,Ene,190,Null,17.22,20,581,200,2019-03-01T12:00:00Z,Ene,Eneskolan,Kommunal,F-9,Mölnbovägen 25 <BR> 153 32 Järna<BR>,https://www.sodertalje.se/eneskolan,17.55750283469028,59.08379372434768
,338,grundskola,21.47,Fornbacka,145,Null,Null,20,338,,2019-03-01T12:00:00Z,Forn,Fornbackaskolan,Kommunal,"F-6, Sär",Fornhöjdsvägen 4 <BR> 152 58 Södertälje<BR>,https://www.sodertalje.se/Fornbackaskolan,17.6645602041309,59.19295953577887
,564,grundskola,41.56,Hovsjö,469,Null,12.32,20,564,139,2019-03-01T12:00:00Z,Hovs,Hovsjöskolan,Kommunal,F-9,Penselvägen 1 <BR> 151 65 Södertälje,https://www.sodertalje.se/Hovsjoskolan,17.598898753777032,59.17571289589243
,477,grundskola,4.71,Hölö,45,Null,5.03,20,477,48,2019-03-01T12:00:00Z,Hölö,Hölöskolan,Kommunal,F-9,Eriksbergsvägen 9 <BR> 153 71 Hölö<BR>,https://www.sodertalje.se/Holoskolan,17.54494648967159,59.023013557675405
,697,grundskola,25.75,Igelstaviken,"359,2",Null,Null,20,697,,2019-03-01T12:00:00Z,Igel,Igelsta grundskola,Kommunal,F-9,Korpuddsvägen 9-11 <BR>152 57 Södertälje <BR>,https://www.sodertalje.se/Igelstagrundskola,17.660093767283833,59.18326977968149
40,391,grundskola,20.12,Lina,165,4.877751357,16.46,21,391,135,2019-03-01T12:00:00Z,Lina,Lina grundskola,Kommunal,F-9,Vatt Annas väg 5-7 <BR> 151 55 Södertälje<BR>,https://www.sodertalje.se/Linagrundskola,17.588236735281328,59.2107546239738
,222,grundskola,25.72,Majtorp,120,Null,26.79,21,222,125,2019-03-01T12:00:00Z,Majt,Rosenborgsenheten (Majtorpskolan),Kommunal,F-3,Klätterstigen 4 <BR> 152 70 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.651494782318082,59.193271925020795
11,325,gymnasium,3.52,Moraberg,24,1.614205004,3.38,21,325,23,2019-03-01T12:00:00Z,Mora,Mora Park Hölö,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Kristoffergården <BR>153 92 Hölö,http://www.morapark.se/sarskola-forskola,17.598694418220525,59.00505296735322
11,325,gymnasium,3.52,Moraberg,24,1.614205004,3.38,21,325,23,2019-03-01T12:00:00Z,Mora,Mora Park Järna,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Mora 8 <BR>153 95 Järna,http://www.morapark.se/sarskola-forskola,17.546649554275444,59.08395671580015
,145,grundskola,58.54,Mölnbo,170,Null,41.13,20,231,190,2019-03-01T12:00:00Z,Möln,Mölnboskolan,Kommunal,F-6,Skolvägen 13 <BR> 153 60 Mölnbo<BR>,https://www.sodertalje.se/Molnboskolan,17.4240737784609,59.0526617272965
,334,grundskola,Null,Oxbacken,,Null,Null,,334,,2019-03-01T12:00:00Z,Oxba,Oxbacksskolan 5-9,Kommunal,5-9,Mariekällgatan 3 <BR> 151 44 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.625645909275317,59.18884545332261
,334,grundskola,Null,Oxbacken,,Null,Null,,334,,2019-03-01T12:00:00Z,Oxba,Oxbacksskolan F-4,Kommunal,F-4,Bellevugatan 6-8 <BR> 151 73 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.62410663664879,59.19567503874605
157,531,grundskola,13.93,Pershagen,148,14.77507999,7.81,20,531,83,2019-03-01T12:00:00Z,Pers,Pershagenskolan,Kommunal,F-9,Bränningestrandsvägen 4 <BR> 151 39 Södertälje<BR>,https://www.pershagenskolan.se/,17.652221471021317,59.15264290899835
,639,gymnasium,19.56,Rektorsvägen,250,Null,15.88,20,639,203,2019-03-01T12:00:00Z,Rekt,Null,Null,Null,Null,Null,Null,Null
181,757,grundskola,28.67,Ronna,434,11.95824524,3.43,20,1179,81,2019-03-01T12:00:00Z,Ronn,Ronnaskolan,Kommunal,F-9,Robert Anbergsväg 1-3 <BR> 151 51 Södertälje<BR>,https://www.sodertalje.se/Ronnaskolan,17.597530945250995,59.20505199753246
,540,grundskola,37.03,Rosenborg,400,Null,19.12,20,1456,557,2019-03-01T12:00:00Z,Rose,Rosenborgsenheten,Kommunal,"F-9, Sär",Erik Dahlbergs väg 9 <BR> 152 40 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.638892847871517,59.19723429606154
,628,grundskola,28.98,Soldala,364,Null,8.2,20,628,103,2019-03-01T12:00:00Z,Sold,Soldalaskolan,Kommunal,F-9,Lundbygatan 5 <BR> 151 46 Södertälje<BR>,https://www.sodertalje.se/Soldalaskolan,17.604604905426367,59.18560822004892
124,361,grundskola,23.28,Stålhamra,168,17.18403548,6.93,20,361,50,2019-03-01T12:00:00Z,Stål,Stålhamraskolan,Kommunal,"F-6, Sär",Skogvaktarvägen 30 <BR> 151 47 Södertälje<BR>,https://www.sodertalje.se/Stalhamraskolan,17.622655865273163,59.177844961210525
,444,grundskola,19.13,Tavesta,170,Null,22.5,20,444,200,2019-03-01T12:00:00Z,Tave,Tavestaskolan,Kommunal,F-5,Rönnvägen 7 <BR> 153 36 Järna<BR>,https://www.sodertalje.se/tavestaskolan,17.5607384046489,59.096316380331835
80,305,grundskola,23.44,Valla,150,12.50253958,15.41,21,371,120,2019-03-01T12:00:00Z,Vall,Vallaskolan,Kommunal,F-6,Sandviksvägen 60 <BR> 151 50 Enhörna<BR>,https://www.sodertalje.se/Vallaskolan,17.48145953130543,59.25503028224599
130,669,grundskola,19.94,Wasa,280,9.256094782,13.57,21,702,200,2019-03-01T12:00:00Z,Wasa,Wasaskolan,Kommunal,F-9,Prosten Linders väg 2 <BR> 151 61 Södertälje<BR>,https://www.sodertalje.se/Wasaskolan,17.58046263369102,59.19335665834746
127,485,gymnasium,24.12,Västergård,234,13.09008452,5.22,20,1514,158,2019-03-01T12:00:00Z,Väst,Null,Null,Null,Null,Null,Null,Null
,210,övrigt ,Null,Stadshuset,,Null,57.14,21,210,252,2019-03-01T12:00:00Z,Stad,Null,Null,Null,Null,Null,Null,Null
98,643,grundskola,23.81,Blombacka,245,9.52,2.12,16,1152,39,2019-04-01T12:00:00Z,Blom,Blombackaskolan,Kommunal,F-9,Källgatan 8 <BR> 151 60 Södertälje<BR>,https://www.sodertalje.se/Blombackaskolan,17.610175386429578,59.193009209745874
86,386,grundskola,33.02,Braxen,204,13.92,9.6,16,386,"59,3",2019-04-01T12:00:00Z,Brax,Null,Null,Null,Null,Null,Null,Null
,899,grundskola,32.76,Brunnsäng,471,Null,11.27,16,899,162,2019-04-01T12:00:00Z,Brun,Brunnsängskolan,Kommunal,F-9,Häradsvägen 8 <BR> 152 48 Södertälje<BR>,https://www.sodertalje.se/Brunnsangskolan,17.63710477830217,59.21250350241082
140,581,grundskola,22.28,Ene,220,14.18,13.88,17,581,137,2019-04-01T12:00:00Z,Ene,Eneskolan,Kommunal,F-9,Mölnbovägen 25 <BR> 153 32 Järna<BR>,https://www.sodertalje.se/eneskolan,17.55750283469028,59.08379372434768
88,338,grundskola,17.18,Fornbacka,87,17.37,14.41,15,338,73,2019-04-01T12:00:00Z,Forn,Fornbackaskolan,Kommunal,"F-6, Sär",Fornhöjdsvägen 4 <BR> 152 58 Södertälje<BR>,https://www.sodertalje.se/Fornbackaskolan,17.6645602041309,59.19295953577887
32,564,grundskola,40.58,Hovsjö,229,5.67,4.96,10,564,28,2019-04-01T12:00:00Z,Hovs,Hovsjöskolan,Kommunal,F-9,Penselvägen 1 <BR> 151 65 Södertälje,https://www.sodertalje.se/Hovsjoskolan,17.598898753777032,59.17571289589243
29,477,grundskola,6.7,Hölö,48,4.05,7.4,15,477,53,2019-04-01T12:00:00Z,Hölö,Hölöskolan,Kommunal,F-9,Eriksbergsvägen 9 <BR> 153 71 Hölö<BR>,https://www.sodertalje.se/Holoskolan,17.54494648967159,59.023013557675405
221,697,grundskola,33.28,Igelstaviken,441,16.68,5.06,19,697,67,2019-04-01T12:00:00Z,Igel,Igelsta grundskola,Kommunal,F-9,Korpuddsvägen 9-11 <BR>152 57 Södertälje <BR>,https://www.sodertalje.se/Igelstagrundskola,17.660093767283833,59.18326977968149
35,391,grundskola,24.81,Lina,155,5.6,20.01,16,391,125,2019-04-01T12:00:00Z,Lina,Lina grundskola,Kommunal,F-9,Vatt Annas väg 5-7 <BR> 151 55 Södertälje<BR>,https://www.sodertalje.se/Linagrundskola,17.588236735281328,59.2107546239738
,222,grundskola,18.56,Majtorp,66,Null,21.94,16,222,78,2019-04-01T12:00:00Z,Majt,Rosenborgsenheten (Majtorpskolan),Kommunal,F-3,Klätterstigen 4 <BR> 152 70 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.651494782318082,59.193271925020795
