servering..i.kg.,antal.ätande.på.plats,kategori,tallrikssvinn.gäst.dag,enhet,tallrik..i.kg.,serveringssvinn.gäst.dag,kökssvinn.gäst.dag,dagar,antal.port.inkl..utskick,kök..i.kg.,date,code,Namn,Typ,Beskrivning,Adress,Webbsida,lon,lat
14,325,gymnasium,5.39,Moraberg,28,2.7,2.7,16,325,14,2019-04-01T12:00:00Z,Mora,Mora Park Hölö,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Kristoffergården <BR>153 92 Hölö,http://www.morapark.se/sarskola-forskola,17.598694418220525,59.00505296735322
14,325,gymnasium,5.39,Moraberg,28,2.7,2.7,16,325,14,2019-04-01T12:00:00Z,Mora,Mora Park Järna,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Mora 8 <BR>153 95 Järna,http://www.morapark.se/sarskola-forskola,17.546649554275444,59.08395671580015
80,145,grundskola,89.13,Mölnbo,220,32.41,38.2,17,231,150,2019-04-01T12:00:00Z,Möln,Mölnboskolan,Kommunal,F-6,Skolvägen 13 <BR> 153 60 Mölnbo<BR>,https://www.sodertalje.se/Molnboskolan,17.4240737784609,59.0526617272965
,334,grundskola,Null,Oxbacken,,Null,Null,,334,,2019-04-01T12:00:00Z,Oxba,Oxbacksskolan 5-9,Kommunal,5-9,Mariekällgatan 3 <BR> 151 44 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.625645909275317,59.18884545332261
,334,grundskola,Null,Oxbacken,,Null,Null,,334,,2019-04-01T12:00:00Z,Oxba,Oxbacksskolan F-4,Kommunal,F-4,Bellevugatan 6-8 <BR> 151 73 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.62410663664879,59.19567503874605
87,531,grundskola,8.47,Pershagen,72,10.23,2.59,16,531,22,2019-04-01T12:00:00Z,Pers,Pershagenskolan,Kommunal,F-9,Bränningestrandsvägen 4 <BR> 151 39 Södertälje<BR>,https://www.pershagenskolan.se/,17.652221471021317,59.15264290899835
,639,gymnasium,7.53,Rektorsvägen,77,Null,11.34,16,639,116,2019-04-01T12:00:00Z,Rekt,Null,Null,Null,Null,Null,Null,Null
149,757,grundskola,23.87,Ronna,289,12.31,0.21,16,1179,4,2019-04-01T12:00:00Z,Ronn,Ronnaskolan,Kommunal,F-9,Robert Anbergsväg 1-3 <BR> 151 51 Södertälje<BR>,https://www.sodertalje.se/Ronnaskolan,17.597530945250995,59.20505199753246
,540,grundskola,9.5,Rosenborg,77,Null,15.01,15,1456,328,2019-04-01T12:00:00Z,Rose,Rosenborgsenheten,Kommunal,"F-9, Sär",Erik Dahlbergs väg 9 <BR> 152 40 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.638892847871517,59.19723429606154
85,628,grundskola,20.5,Soldala,206,8.46,4.08,16,628,41,2019-04-01T12:00:00Z,Sold,Soldalaskolan,Kommunal,F-9,Lundbygatan 5 <BR> 151 46 Södertälje<BR>,https://www.sodertalje.se/Soldalaskolan,17.604604905426367,59.18560822004892
64,361,grundskola,22.69,Stålhamra,131,11.09,4.16,16,361,24,2019-04-01T12:00:00Z,Stål,Stålhamraskolan,Kommunal,"F-6, Sär",Skogvaktarvägen 30 <BR> 151 47 Södertälje<BR>,https://www.sodertalje.se/Stalhamraskolan,17.622655865273163,59.177844961210525
110,444,grundskola,26.72,Tavesta,190,15.47,16.88,16,444,120,2019-04-01T12:00:00Z,Tave,Tavestaskolan,Kommunal,F-5,Rönnvägen 7 <BR> 153 36 Järna<BR>,https://www.sodertalje.se/tavestaskolan,17.5607384046489,59.096316380331835
53,305,grundskola,22.28,Valla,129,9.15,14.48,19,371,102,2019-04-01T12:00:00Z,Vall,Vallaskolan,Kommunal,F-6,Sandviksvägen 60 <BR> 151 50 Enhörna<BR>,https://www.sodertalje.se/Vallaskolan,17.48145953130543,59.25503028224599
80,669,grundskola,29.9,Wasa,320,7.48,8.55,16,702,96,2019-04-01T12:00:00Z,Wasa,Wasaskolan,Kommunal,F-9,Prosten Linders väg 2 <BR> 151 61 Södertälje<BR>,https://www.sodertalje.se/Wasaskolan,17.58046263369102,59.19335665834746
148,485,gymnasium,22.03,Västergård,171,19.07,4.09,16,1514,99,2019-04-01T12:00:00Z,Väst,Null,Null,Null,Null,Null,Null,Null
,173,grundskola,Null,Viksberg,,Null,Null,,173,,2019-04-01T12:00:00Z,Viks,Viksbergskolan,Kommunal,F-6,Hoxeltorpsvägen 2B <BR> 152 95 Södertälje<BR>,https://www.sodertalje.se/viksbergskolan,17.62991773924535,59.23796516148902
,210,övrigt ,Null,Stadshuset,,Null,54.89,19,210,219,2019-04-01T12:00:00Z,Stad,Null,Null,Null,Null,Null,Null,Null
156,643,grundskola,20.81,Blombacka,281,11.55,3.06,21,1152,74,2019-05-01T12:00:00Z,Blom,Blombackaskolan,Kommunal,F-9,Källgatan 8 <BR> 151 60 Södertälje<BR>,https://www.sodertalje.se/Blombackaskolan,17.610175386429578,59.193009209745874
146,386,grundskola,28.49,Braxen,220,18.91,13.47,20,386,104,2019-05-01T12:00:00Z,Brax,Null,Null,Null,Null,Null,Null,Null
,899,grundskola,31.03,Brunnsäng,502,Null,11.13,18,899,180,2019-05-01T12:00:00Z,Brun,Brunnsängskolan,Kommunal,F-9,Häradsvägen 8 <BR> 152 48 Södertälje<BR>,https://www.sodertalje.se/Brunnsangskolan,17.63710477830217,59.21250350241082
60,581,grundskola,26.69,Ene,310,5.17,10.33,20,581,120,2019-05-01T12:00:00Z,Ene,Eneskolan,Kommunal,F-9,Mölnbovägen 25 <BR> 153 32 Järna<BR>,https://www.sodertalje.se/eneskolan,17.55750283469028,59.08379372434768
128,338,grundskola,18.51,Fornbacka,125,18.95,16.73,20,338,113,2019-05-01T12:00:00Z,Forn,Fornbackaskolan,Kommunal,"F-6, Sär",Fornhöjdsvägen 4 <BR> 152 58 Södertälje<BR>,https://www.sodertalje.se/Fornbackaskolan,17.6645602041309,59.19295953577887
40,564,grundskola,39.87,Hovsjö,450,3.54,3.81,20,564,43,2019-05-01T12:00:00Z,Hovs,Hovsjöskolan,Kommunal,F-9,Penselvägen 1 <BR> 151 65 Södertälje,https://www.sodertalje.se/Hovsjoskolan,17.598898753777032,59.17571289589243
22,477,grundskola,5.45,Hölö,52,2.3,6.28,20,477,60,2019-05-01T12:00:00Z,Hölö,Hölöskolan,Kommunal,F-9,Eriksbergsvägen 9 <BR> 153 71 Hölö<BR>,https://www.sodertalje.se/Holoskolan,17.54494648967159,59.023013557675405
342,697,grundskola,23.28,Igelstaviken,276,28.85,1.43,17,697,17,2019-05-01T12:00:00Z,Igel,Igelsta grundskola,Kommunal,F-9,Korpuddsvägen 9-11 <BR>152 57 Södertälje <BR>,https://www.sodertalje.se/Igelstagrundskola,17.660093767283833,59.18326977968149
70,391,grundskola,21.77,Lina,170,8.96,18.57,20,391,145,2019-05-01T12:00:00Z,Lina,Lina grundskola,Kommunal,F-9,Vatt Annas väg 5-7 <BR> 151 55 Södertälje<BR>,https://www.sodertalje.se/Linagrundskola,17.588236735281328,59.2107546239738
69,222,grundskola,12.86,Majtorp,60,14.79,12.64,21,222,59,2019-05-01T12:00:00Z,Majt,Rosenborgsenheten (Majtorpskolan),Kommunal,F-3,Klätterstigen 4 <BR> 152 70 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.651494782318082,59.193271925020795
15,325,gymnasium,4.16,Moraberg,27,2.31,3.08,20,325,20,2019-05-01T12:00:00Z,Mora,Mora Park Hölö,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Kristoffergården <BR>153 92 Hölö,http://www.morapark.se/sarskola-forskola,17.598694418220525,59.00505296735322
15,325,gymnasium,4.16,Moraberg,27,2.31,3.08,20,325,20,2019-05-01T12:00:00Z,Mora,Mora Park Järna,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Mora 8 <BR>153 95 Järna,http://www.morapark.se/sarskola-forskola,17.546649554275444,59.08395671580015
17,145,grundskola,72.31,Mölnbo,210,5.85,5.41,20,231,25,2019-05-01T12:00:00Z,Möln,Mölnboskolan,Kommunal,F-6,Skolvägen 13 <BR> 153 60 Mölnbo<BR>,https://www.sodertalje.se/Molnboskolan,17.4240737784609,59.0526617272965
,334,grundskola,Null,Oxbacken,,Null,Null,,334,,2019-05-01T12:00:00Z,Oxba,Oxbacksskolan 5-9,Kommunal,5-9,Mariekällgatan 3 <BR> 151 44 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.625645909275317,59.18884545332261
,334,grundskola,Null,Oxbacken,,Null,Null,,334,,2019-05-01T12:00:00Z,Oxba,Oxbacksskolan F-4,Kommunal,F-4,Bellevugatan 6-8 <BR> 151 73 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.62410663664879,59.19567503874605
118,531,grundskola,10.63,Pershagen,113,11.1,3.58,20,531,38,2019-05-01T12:00:00Z,Pers,Pershagenskolan,Kommunal,F-9,Bränningestrandsvägen 4 <BR> 151 39 Södertälje<BR>,https://www.pershagenskolan.se/,17.652221471021317,59.15264290899835
,639,gymnasium,17.46,Rektorsvägen,212,Null,10.13,19,639,123,2019-05-01T12:00:00Z,Rekt,Null,Null,Null,Null,Null,Null,Null
195,757,grundskola,22.93,Ronna,347,12.88,0.93,20,1179,22,2019-05-01T12:00:00Z,Ronn,Ronnaskolan,Kommunal,F-9,Robert Anbergsväg 1-3 <BR> 151 51 Södertälje<BR>,https://www.sodertalje.se/Ronnaskolan,17.597530945250995,59.20505199753246
,540,grundskola,30.27,Rosenborg,327,Null,13.18,20,1456,384,2019-05-01T12:00:00Z,Rose,Rosenborgsenheten,Kommunal,"F-9, Sär",Erik Dahlbergs väg 9 <BR> 152 40 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.638892847871517,59.19723429606154
95,628,grundskola,31.21,Soldala,392,7.56,6.61,20,628,83,2019-05-01T12:00:00Z,Sold,Soldalaskolan,Kommunal,F-9,Lundbygatan 5 <BR> 151 46 Södertälje<BR>,https://www.sodertalje.se/Soldalaskolan,17.604604905426367,59.18560822004892
72,361,grundskola,17.6,Stålhamra,127,9.98,0.28,20,361,2,2019-05-01T12:00:00Z,Stål,Stålhamraskolan,Kommunal,"F-6, Sär",Skogvaktarvägen 30 <BR> 151 47 Södertälje<BR>,https://www.sodertalje.se/Stalhamraskolan,17.622655865273163,59.177844961210525
40,444,grundskola,10.69,Tavesta,95,4.5,7.31,20,444,65,2019-05-01T12:00:00Z,Tave,Tavestaskolan,Kommunal,F-5,Rönnvägen 7 <BR> 153 36 Järna<BR>,https://www.sodertalje.se/tavestaskolan,17.5607384046489,59.096316380331835
46,305,grundskola,26.26,Valla,160,7.55,20.64,20,371,153,2019-05-01T12:00:00Z,Vall,Vallaskolan,Kommunal,F-6,Sandviksvägen 60 <BR> 151 50 Enhörna<BR>,https://www.sodertalje.se/Vallaskolan,17.48145953130543,59.25503028224599
70,669,grundskola,20.93,Wasa,280,5.23,6.41,20,702,90,2019-05-01T12:00:00Z,Wasa,Wasaskolan,Kommunal,F-9,Prosten Linders väg 2 <BR> 151 61 Södertälje<BR>,https://www.sodertalje.se/Wasaskolan,17.58046263369102,59.19335665834746
157,485,gymnasium,20.16,Västergård,176,17.98,2.5,18,1514,68,2019-05-01T12:00:00Z,Väst,Null,Null,Null,Null,Null,Null,Null
74,173,grundskola,41.11,Viksberg,142,21.42443544,31.79190751,20,173,110,2019-05-01T12:00:00Z,Viks,Viksbergskolan,Kommunal,F-6,Hoxeltorpsvägen 2B <BR> 152 95 Södertälje<BR>,https://www.sodertalje.se/viksbergskolan,17.62991773924535,59.23796516148902
,210,övrigt ,Null,Stadshuset,,Null,Null,,210,,2019-05-01T12:00:00Z,Stad,Null,Null,Null,Null,Null,Null,Null
140,685,grundskola,25.83,Blombacka,354,10.21,4.35,20,1148,100,2019-09-01T12:00:00Z,Blom,Blombackaskolan,Kommunal,F-9,Källgatan 8 <BR> 151 60 Södertälje<BR>,https://www.sodertalje.se/Blombackaskolan,17.610175386429578,59.193009209745874
110,380,grundskola,32.12,Braxen,256,13.8,5.14,21,380,41,2019-09-01T12:00:00Z,Brax,Null,Null,Null,Null,Null,Null,Null
412,873,grundskola,29.2,Brunnsäng,510,23.59,5.5,20,873,96,2019-09-01T12:00:00Z,Brun,Brunnsängskolan,Kommunal,F-9,Häradsvägen 8 <BR> 152 48 Södertälje<BR>,https://www.sodertalje.se/Brunnsangskolan,17.63710477830217,59.21250350241082
100,565,grundskola,19.37,Ene,230,8.42,4.21,21,565,50,2019-09-01T12:00:00Z,Ene,Eneskolan,Kommunal,F-9,Mölnbovägen 25 <BR> 153 32 Järna<BR>,https://www.sodertalje.se/eneskolan,17.55750283469028,59.08379372434768
"119,3",339,grundskola,22.28,Fornbacka,151,17.61,12.96,20,339,"87,8",2019-09-01T12:00:00Z,Forn,Fornbackaskolan,Kommunal,"F-6, Sär",Fornhöjdsvägen 4 <BR> 152 58 Södertälje<BR>,https://www.sodertalje.se/Fornbackaskolan,17.6645602041309,59.19295953577887
43,582,grundskola,51.3,Hovsjö,597,3.69,2.75,20,582,32,2019-09-01T12:00:00Z,Hovs,Hovsjöskolan,Kommunal,F-9,Penselvägen 1 <BR> 151 65 Södertälje,https://www.sodertalje.se/Hovsjoskolan,17.598898753777032,59.17571289589243
98,469,grundskola,8,Hölö,75,10.46,4.02,20,473,38,2019-09-01T12:00:00Z,Hölö,Hölöskolan,Kommunal,F-9,Eriksbergsvägen 9 <BR> 153 71 Hölö<BR>,https://www.sodertalje.se/Holoskolan,17.54494648967159,59.023013557675405
413,740,grundskola,29.14,Igelstaviken,453,26.57,0.93,21,740,"14,4",2019-09-01T12:00:00Z,Igel,Igelsta grundskola,Kommunal,F-9,Korpuddsvägen 9-11 <BR>152 57 Södertälje <BR>,https://www.sodertalje.se/Igelstagrundskola,17.660093767283833,59.18326977968149
40,393,grundskola,19.1,Lina,150,5.09,15.92,20,393,125,2019-09-01T12:00:00Z,Lina,Lina grundskola,Kommunal,F-9,Vatt Annas väg 5-7 <BR> 151 55 Södertälje<BR>,https://www.sodertalje.se/Linagrundskola,17.588236735281328,59.2107546239738
86,215,grundskola,31.9,Majtorp,130,21.1,7.61,19,215,31,2019-09-01T12:00:00Z,Majt,Rosenborgsenheten (Majtorpskolan),Kommunal,F-3,Klätterstigen 4 <BR> 152 70 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.651494782318082,59.193271925020795
28,287,gymnasium,6.62,Moraberg,38,4.88,3.13,20,287,18,2019-09-01T12:00:00Z,Mora,Mora Park Hölö,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Kristoffergården <BR>153 92 Hölö,http://www.morapark.se/sarskola-forskola,17.598694418220525,59.00505296735322
28,287,gymnasium,6.62,Moraberg,38,4.88,3.13,20,287,18,2019-09-01T12:00:00Z,Mora,Mora Park Järna,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Mora 8 <BR>153 95 Järna,http://www.morapark.se/sarskola-forskola,17.546649554275444,59.08395671580015
22,156,grundskola,60.97,Mölnbo,200,6.71,4.53,21,242,23,2019-09-01T12:00:00Z,Möln,Mölnboskolan,Kommunal,F-6,Skolvägen 13 <BR> 153 60 Mölnbo<BR>,https://www.sodertalje.se/Molnboskolan,17.4240737784609,59.0526617272965
110,352,grundskola,34.63,Oxbacken,256,14.88,5.55,21,352,41,2019-09-01T12:00:00Z,Oxba,Oxbacksskolan 5-9,Kommunal,5-9,Mariekällgatan 3 <BR> 151 44 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.625645909275317,59.18884545332261
110,352,grundskola,34.63,Oxbacken,256,14.88,5.55,21,352,41,2019-09-01T12:00:00Z,Oxba,Oxbacksskolan F-4,Kommunal,F-4,Bellevugatan 6-8 <BR> 151 73 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.62410663664879,59.19567503874605
268,550,grundskola,19.65,Pershagen,227,23.2,5.8,21,550,67,2019-09-01T12:00:00Z,Pers,Pershagenskolan,Kommunal,F-9,Bränningestrandsvägen 4 <BR> 151 39 Södertälje<BR>,https://www.pershagenskolan.se/,17.652221471021317,59.15264290899835
67,694,gymnasium,23.99,Rektorsvägen,333,4.83,3.67,20,694,51,2019-09-01T12:00:00Z,Rekt,Null,Null,Null,Null,Null,Null,Null
163,760,grundskola,28.09,Ronna,427,10.72,1.43,20,1018,29,2019-09-01T12:00:00Z,Ronn,Ronnaskolan,Kommunal,F-9,Robert Anbergsväg 1-3 <BR> 151 51 Södertälje<BR>,https://www.sodertalje.se/Ronnaskolan,17.597530945250995,59.20505199753246
185,535,grundskola,27.78,Rosenborg,297,17.3,1.23,20,1498,37,2019-09-01T12:00:00Z,Rose,Rosenborgsenheten,Kommunal,"F-9, Sär",Erik Dahlbergs väg 9 <BR> 152 40 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.638892847871517,59.19723429606154
99,619,grundskola,28.5,Soldala,353,7.99,3.88,20,619,48,2019-09-01T12:00:00Z,Sold,Soldalaskolan,Kommunal,F-9,Lundbygatan 5 <BR> 151 46 Södertälje<BR>,https://www.sodertalje.se/Soldalaskolan,17.604604905426367,59.18560822004892
133,364,grundskola,23.8,Stålhamra,182,17.39,Null,21,364,,2019-09-01T12:00:00Z,Stål,Stålhamraskolan,Kommunal,"F-6, Sär",Skogvaktarvägen 30 <BR> 151 47 Södertälje<BR>,https://www.sodertalje.se/Stalhamraskolan,17.622655865273163,59.177844961210525
61,429,grundskola,23.31,Tavesta,210,6.77,4.11,21,429,37,2019-09-01T12:00:00Z,Tave,Tavestaskolan,Kommunal,F-5,Rönnvägen 7 <BR> 153 36 Järna<BR>,https://www.sodertalje.se/tavestaskolan,17.5607384046489,59.096316380331835
72,320,grundskola,13.75,Valla,88,11.25,15.54,20,386,120,2019-09-01T12:00:00Z,Vall,Vallaskolan,Kommunal,F-6,Sandviksvägen 60 <BR> 151 50 Enhörna<BR>,https://www.sodertalje.se/Vallaskolan,17.48145953130543,59.25503028224599
78,650,grundskola,26.92,Wasa,350,6,7.69,20,650,100,2019-09-01T12:00:00Z,Wasa,Wasaskolan,Kommunal,F-9,Prosten Linders väg 2 <BR> 151 61 Södertälje<BR>,https://www.sodertalje.se/Wasaskolan,17.58046263369102,59.19335665834746
88,501,gymnasium,20.18,Västergård,202,8.79,3.77,20,1551,117,2019-09-01T12:00:00Z,Väst,Null,Null,Null,Null,Null,Null,Null
95,237,grundskola,32.98,Viksberg,156,20.08,5.92,20,237,28,2019-09-01T12:00:00Z,Viks,Viksbergskolan,Kommunal,F-6,Hoxeltorpsvägen 2B <BR> 152 95 Södertälje<BR>,https://www.sodertalje.se/viksbergskolan,17.62991773924535,59.23796516148902
,210,övrigt ,Null,Stadshuset,,Null,58.87,22,210,272,2019-09-01T12:00:00Z,Stad,Null,Null,Null,Null,Null,Null,Null
110,685,grundskola,21.16,Blombacka,290,8.03,4.09,20,1148,94,2019-10-01T12:00:00Z,Blom,Blombackaskolan,Kommunal,F-9,Källgatan 8 <BR> 151 60 Södertälje<BR>,https://www.sodertalje.se/Blombackaskolan,17.610175386429578,59.193009209745874
174,380,grundskola,31.23,Braxen,237,22.92,6.98,20,380,53,2019-10-01T12:00:00Z,Brax,Null,Null,Null,Null,Null,Null,Null
287,873,grundskola,26.91,Brunnsäng,470,16.43,8.82,20,873,154,2019-10-01T12:00:00Z,Brun,Brunnsängskolan,Kommunal,F-9,Häradsvägen 8 <BR> 152 48 Södertälje<BR>,https://www.sodertalje.se/Brunnsangskolan,17.63710477830217,59.21250350241082
,565,grundskola,Null,Ene,,Null,Null,,565,,2019-10-01T12:00:00Z,Ene,Eneskolan,Kommunal,F-9,Mölnbovägen 25 <BR> 153 32 Järna<BR>,https://www.sodertalje.se/eneskolan,17.55750283469028,59.08379372434768
"103,3",339,grundskola,20.46,Fornbacka,"131,7",16.05,9.63,19,339,62,2019-10-01T12:00:00Z,Forn,Fornbackaskolan,Kommunal,"F-6, Sär",Fornhöjdsvägen 4 <BR> 152 58 Södertälje<BR>,https://www.sodertalje.se/Fornbackaskolan,17.6645602041309,59.19295953577887
39,582,grundskola,42.33,Hovsjö,468,3.53,2.62,19,582,29,2019-10-01T12:00:00Z,Hovs,Hovsjöskolan,Kommunal,F-9,Penselvägen 1 <BR> 151 65 Södertälje,https://www.sodertalje.se/Hovsjoskolan,17.598898753777032,59.17571289589243
103,469,grundskola,8.65,Hölö,77,11.57,6.12,19,473,55,2019-10-01T12:00:00Z,Hölö,Hölöskolan,Kommunal,F-9,Eriksbergsvägen 9 <BR> 153 71 Hölö<BR>,https://www.sodertalje.se/Holoskolan,17.54494648967159,59.023013557675405
435,740,grundskola,31.68,Igelstaviken,469,29.38,1.74,20,740,"25,8",2019-10-01T12:00:00Z,Igel,Igelsta grundskola,Kommunal,F-9,Korpuddsvägen 9-11 <BR>152 57 Södertälje <BR>,https://www.sodertalje.se/Igelstagrundskola,17.660093767283833,59.18326977968149
40,393,grundskola,18.76,Lina,140,5.36,14.74,19,393,110,2019-10-01T12:00:00Z,Lina,Lina grundskola,Kommunal,F-9,Vatt Annas väg 5-7 <BR> 151 55 Södertälje<BR>,https://www.sodertalje.se/Linagrundskola,17.588236735281328,59.2107546239738
98,215,grundskola,24.86,Majtorp,96,25.38,5.7,18,215,22,2019-10-01T12:00:00Z,Majt,Rosenborgsenheten (Majtorpskolan),Kommunal,F-3,Klätterstigen 4 <BR> 152 70 Södertälje<BR>,https://www.sodertalje.se/Rosenborgsenheten,17.651494782318082,59.193271925020795
25,287,gymnasium,8.8,Moraberg,48,4.58,4.4,19,287,24,2019-10-01T12:00:00Z,Mora,Mora Park Hölö,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Kristoffergården <BR>153 92 Hölö,http://www.morapark.se/sarskola-forskola,17.598694418220525,59.00505296735322
25,287,gymnasium,8.8,Moraberg,48,4.58,4.4,19,287,24,2019-10-01T12:00:00Z,Mora,Mora Park Järna,Fristående,Hos oss går barnen från förskoleålder (3 år) upp till årskurs 9. Waldorf- och läkepedagogik vävs samman i undervisningen.,Mora 8 <BR>153 95 Järna,http://www.morapark.se/sarskola-forskola,17.546649554275444,59.08395671580015
65,156,grundskola,64.02,Mölnbo,190,21.9,5.22,19,242,24,2019-10-01T12:00:00Z,Möln,Mölnboskolan,Kommunal,F-6,Skolvägen 13 <BR> 153 60 Mölnbo<BR>,https://www.sodertalje.se/Molnboskolan,17.4240737784609,59.0526617272965
,352,grundskola,Null,Oxbacken,,Null,Null,,352,,2019-10-01T12:00:00Z,Oxba,Oxbacksskolan 5-9,Kommunal,5-9,Mariekällgatan 3 <BR> 151 44 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.625645909275317,59.18884545332261
,352,grundskola,Null,Oxbacken,,Null,Null,,352,,2019-10-01T12:00:00Z,Oxba,Oxbacksskolan F-4,Kommunal,F-4,Bellevugatan 6-8 <BR> 151 73 Södertälje<BR>,https://www.sodertalje.se/Oxbacksskolan,17.62410663664879,59.19567503874605
163,550,grundskola,14.94,Pershagen,189,12.89,0.32,23,550,4,2019-10-01T12:00:00Z,Pers,Pershagenskolan,Kommunal,F-9,Bränningestrandsvägen 4 <BR> 151 39 Södertälje<BR>,https://www.pershagenskolan.se/,17.652221471021317,59.15264290899835
69,694,gymnasium,21.85,Rektorsvägen,273,5.52,2.88,18,694,36,2019-10-01T12:00:00Z,Rekt,Null,Null,Null,Null,Null,Null,Null
116,760,grundskola,22.78,Ronna,329,8.03,5.12,19,1018,99,2019-10-01T12:00:00Z,Ronn,Ronnaskolan,Kommunal,F-9,Robert Anbergsväg 1-3 <BR> 151 51 Södertälje<BR>,https://www.sodertalje.se/Ronnaskolan,17.597530945250995,59.20505199753246
